#       time                file                area                mass    irreducible mass                spin      dimless spin-x      dimless spin-y      dimless spin-z  dimless spin-z-alt     linear mom. |P|      linear mom. Px      linear mom. Py      linear mom. Pz            origin_x            origin_y            origin_z            center_x            center_y            center_z
  46.0000000    2.3000000000e+01    1.2536324676e+01    4.9940189862e-01    4.9940189731e-01    7.2089191216e-05   -2.4016411393e-05    1.9633663971e-05    1.4097857449e-04    0.0000000000e+00    7.9921551323e-02   -4.9760124103e-02   -6.2541061832e-02   -4.0390752290e-08    2.5144234700e+02    2.5993346624e+02    0.0000000000e+00    2.5145453417e+02    2.5994773142e+02   -7.8520523417e-14
  48.0000000    2.4000000000e+01    1.2536394363e+01    4.9940328629e-01    4.9940328536e-01    6.0863972009e-05   -2.4766832408e-05    1.8596582332e-05    1.1787236567e-04    0.0000000000e+00    7.9832895277e-02   -4.7044438304e-02   -6.4498930169e-02   -3.6515823728e-08    2.5128672493e+02    2.5973857928e+02    0.0000000000e+00    2.5129820786e+02    2.5975330454e+02   -7.2303274479e-14
  50.0000000    2.5000000000e+01    1.2536304077e+01    4.9940148756e-01    4.9940148702e-01    4.6249014061e-05   -2.5556640407e-05    1.7588376271e-05    8.7257735531e-05    0.0000000000e+00    7.9830626333e-02   -4.4350288970e-02   -6.6377562241e-02   -3.4023112118e-08    2.5113872197e+02    2.5953707295e+02    0.0000000000e+00    2.5114953937e+02    2.5955234011e+02   -6.9722005946e-14
  52.0000000    2.6000000000e+01    1.2536465554e+01    4.9940470360e-01    4.9940470335e-01    3.1015855182e-05   -2.6241232822e-05    1.6523647835e-05    5.3809654202e-05    0.0000000000e+00    7.9795838499e-02   -4.1485671469e-02   -6.8163882699e-02   -3.3204747269e-08    2.5099876392e+02    2.5932930566e+02    0.0000000000e+00    2.5100887003e+02    2.5934507263e+02   -1.0744183321e-13
  54.0000000    2.7000000000e+01    1.2536535049e+01    4.9940608763e-01    4.9940608756e-01    1.7221385523e-05   -2.6898914596e-05    1.5320380074e-05    1.5194146840e-05    0.0000000000e+00    7.9689010166e-02   -3.8506439323e-02   -6.9768133642e-02   -3.1281163592e-08    2.5086737413e+02    2.5911568784e+02    0.0000000000e+00    2.5087668965e+02    2.5913192191e+02   -1.1154965840e-13
  56.0000000    2.8000000000e+01    1.2536727243e+01    4.9940991574e-01    4.9940991567e-01    1.6942155648e-05   -2.7511779302e-05    1.4279437266e-05   -1.3786262757e-05    0.0000000000e+00    7.9707023130e-02   -3.5587884026e-02   -7.1321189325e-02   -2.9141237033e-08    2.5074449865e+02    2.5889655043e+02    0.0000000000e+00    2.5075311928e+02    2.5891324694e+02   -1.4171996909e-13
  58.0000000    2.9000000000e+01    1.2536663313e+01    4.9940864250e-01    4.9940864231e-01    2.7569579476e-05   -2.8105693160e-05    1.3091374316e-05   -4.5675127144e-05    0.0000000000e+00    7.9647659985e-02   -3.2577061413e-02   -7.2680704529e-02   -2.8257496645e-08    2.5063048954e+02    2.5867219768e+02    0.0000000000e+00    2.5063834341e+02    2.5868936080e+02   -1.2956302697e-13
  60.0000000    3.0000000000e+01    1.2536872714e+01    4.9941281355e-01    4.9941281313e-01    4.1091993055e-05   -2.8504851701e-05    1.1824919073e-05   -7.6274138456e-05    0.0000000000e+00    7.9541152832e-02   -2.9379100777e-02   -7.3916597807e-02   -2.8047990941e-08    2.5052582856e+02    2.5844336465e+02    0.0000000000e+00    2.5053285943e+02    2.5846084193e+02   -1.3999912341e-13
  62.0000000    3.1000000000e+01    1.2537170007e+01    4.9941873530e-01    4.9941873451e-01    5.6357378270e-05   -2.9176053759e-05    1.0661077205e-05   -1.0848643340e-04    0.0000000000e+00    7.9654917453e-02   -2.6291981046e-02   -7.5190675001e-02   -2.5675540753e-08    2.5043046272e+02    2.5820975305e+02    0.0000000000e+00    2.5043673906e+02    2.5822775344e+02   -1.4507839374e-13
  64.0000000    3.2000000000e+01    1.2537235636e+01    4.9942004269e-01    4.9942004166e-01    6.3983353105e-05   -2.9448082498e-05    9.4697672048e-06   -1.2432484206e-04    0.0000000000e+00    7.9581713544e-02   -2.3130934163e-02   -7.6145971760e-02   -2.6807126625e-08    2.5034458886e+02    2.5797238915e+02    0.0000000000e+00    2.5035010107e+02    2.5799064594e+02   -1.4391265957e-13
  66.0000000    3.3000000000e+01    1.2537239191e+01    4.9942011389e-01    4.9942011247e-01    7.5330483277e-05   -2.9814897488e-05    8.1107293151e-06   -1.4763724883e-04    0.0000000000e+00    7.9486536084e-02   -1.9828379939e-02   -7.6973662818e-02   -2.5824272244e-08    2.5026865078e+02    2.5773153434e+02    0.0000000000e+00    2.5027330262e+02    2.5775010983e+02   -1.4371837054e-13
  68.0000000    3.4000000000e+01    1.2537563316e+01    4.9942656997e-01    4.9942656818e-01    8.4403033614e-05   -3.0248099857e-05    6.8946294520e-06   -1.6612789699e-04    0.0000000000e+00    7.9539486394e-02   -1.6543500771e-02   -7.7800015926e-02   -2.3359718342e-08    2.5020262309e+02    2.5748736995e+02    0.0000000000e+00    2.5020649640e+02    2.5750630468e+02   -1.3516965325e-13
